taxonomic_id,scientific_name,level,kingdom,subkingdom,phylum_division,subphylum_subdivision,class,subclass,order,family,subfamily,tribe,genus,species,infrakingdom,superorder,phylum,subphylum,superclass,infraclass,suborder,infraorder,superfamily,parvorder,subterclass,section,subsection,infraphylum,parvphylum,gigaclass,subgenus,forma
126,Caecidae,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Littorinimorpha,Caecidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Truncatelloidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,Cerithiidae,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Caenogastropoda incertae sedis,Cerithiidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Cerithioidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,Cerithiopsidae,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Caenogastropoda incertae sedis,Cerithiopsidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Triphoroidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,Eulimidae,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Littorinimorpha,Eulimidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Vanikoroidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,Calyptraeidae,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Littorinimorpha,Calyptraeidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Calyptraeoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,Velutinidae,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Littorinimorpha,Velutinidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Velutinoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,Turridae,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Neogastropoda,Turridae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Conoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,Cephalaspidea,Order,Animalia,NA,NA,NA,Gastropoda,Heterobranchia,Cephalaspidea,NA,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,Euthyneura,NA,NA,NA,NA,Tectipleura,NA,NA,NA,NA,NA,NA,NA
205,Nuculanidae,Family,Animalia,NA,NA,NA,Bivalvia,Protobranchia,Nuculanida,Nuculanidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Nuculanoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,Mytilidae,Family,Animalia,NA,NA,NA,Bivalvia,Autobranchia,Mytilida,Mytilidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,Pteriomorphia,NA,NA,Mytiloidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,Pectinidae,Family,Animalia,NA,NA,NA,Bivalvia,Autobranchia,Pectinida,Pectinidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,Pteriomorphia,NA,NA,Pectinoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,Anomiidae,Family,Animalia,NA,NA,NA,Bivalvia,Autobranchia,Pectinida,Anomiidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,Pteriomorphia,NA,NA,Anomioidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,Lasaeidae,Family,Animalia,NA,NA,NA,Bivalvia,Autobranchia,Galeommatida,Lasaeidae,NA,NA,NA,NA,NA,Imparidentia,Mollusca,NA,NA,Heteroconchia,NA,NA,Galeommatoidea,NA,Euheterodonta,NA,NA,NA,NA,NA,NA,NA
229,Cardiidae,Family,Animalia,NA,NA,NA,Bivalvia,Autobranchia,Cardiida,Cardiidae,NA,NA,NA,NA,NA,Imparidentia,Mollusca,NA,NA,Heteroconchia,NA,NA,Cardioidea,NA,Euheterodonta,NA,NA,NA,NA,NA,NA,NA
243,Veneridae,Family,Animalia,NA,NA,NA,Bivalvia,Autobranchia,Venerida,Veneridae,NA,NA,NA,NA,NA,Imparidentia,Mollusca,NA,NA,Heteroconchia,NA,NA,Veneroidea,NA,Euheterodonta,NA,NA,NA,NA,NA,NA,NA
443,Trochidae,Family,Animalia,NA,NA,NA,Gastropoda,Vetigastropoda,Trochida,Trochidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Trochoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
558,Porifera,Phylum,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Porifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
793,Platyhelminthes,Phylum,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
799,Nematoda,Phylum,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
801,Chlorophyta,Phylum (Division),Plantae,Viridiplantae,Chlorophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
830,Phaeophyceae,Class,Chromista,Harosa,NA,NA,Phaeophyceae,NA,NA,NA,NA,NA,NA,NA,Heterokonta,NA,Ochrophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
852,Rhodophyta,Phylum (Division),Plantae,Biliphyta,Rhodophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
882,Annelida,Phylum,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
883,Polychaeta,Class,Animalia,NA,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
895,Eunicida,Order,Animalia,NA,NA,NA,Polychaeta,Errantia,Eunicida,NA,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
902,Orbiniidae,Family,Animalia,NA,NA,NA,Polychaeta,Sedentaria,NA,Orbiniidae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,Scolecida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
913,Spionidae,Family,Animalia,NA,NA,NA,Polychaeta,Sedentaria,Spionida,Spionidae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,Canalipalpata,Spioniformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
919,Cirratulidae,Family,Animalia,NA,NA,NA,Polychaeta,Sedentaria,Terebellida,Cirratulidae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,Canalipalpata,Cirratuliformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
924,Opheliidae,Family,Animalia,NA,NA,NA,Polychaeta,Sedentaria,NA,Opheliidae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,Scolecida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
939,Polynoidae,Family,Animalia,NA,NA,NA,Polychaeta,Errantia,Phyllodocida,Polynoidae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,Aphroditiformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
944,Chrysopetalidae,Family,Animalia,NA,NA,NA,Polychaeta,Errantia,Phyllodocida,Chrysopetalidae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,Nereidiformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
948,Syllidae,Family,Animalia,NA,NA,NA,Polychaeta,Errantia,Phyllodocida,Syllidae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,Nereidiformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
967,Lumbrineridae,Family,Animalia,NA,NA,NA,Polychaeta,Errantia,Eunicida,Lumbrineridae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
985,Sabellidae,Family,Animalia,NA,NA,NA,Polychaeta,Sedentaria,Sabellida,Sabellidae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,Canalipalpata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
988,Serpulidae,Family,Animalia,NA,NA,NA,Polychaeta,Sedentaria,Sabellida,Serpulidae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,Canalipalpata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
989,Spirorbinae,Subfamily,Animalia,NA,NA,NA,Polychaeta,Sedentaria,Sabellida,Serpulidae,Spirorbinae,NA,NA,NA,NA,NA,Annelida,NA,NA,Canalipalpata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1065,Arthropoda,Phylum,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1066,Crustacea,Subphylum,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Crustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1078,Ostracoda,Class,Animalia,NA,NA,NA,Ostracoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Crustacea,Oligostraca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1080,Copepoda,Class,Animalia,NA,NA,NA,Copepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Crustacea,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1082,Cirripedia,Subclass,Animalia,NA,NA,NA,Thecostraca,Cirripedia,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Crustacea,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1100,Calanoida,Order,Animalia,NA,NA,NA,Copepoda,NA,Calanoida,NA,NA,NA,NA,NA,NA,Gymnoplea,Arthropoda,Crustacea,Multicrustacea,Neocopepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1101,Cyclopoida,Order,Animalia,NA,NA,NA,Copepoda,NA,Cyclopoida,NA,NA,NA,NA,NA,NA,Podoplea,Arthropoda,Crustacea,Multicrustacea,Neocopepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1102,Harpacticoida,Order,Animalia,NA,NA,NA,Copepoda,NA,Harpacticoida,NA,NA,NA,NA,NA,NA,Podoplea,Arthropoda,Crustacea,Multicrustacea,Neocopepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1128,Euphausiacea,Order,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Euphausiacea,NA,NA,NA,NA,NA,NA,Eucarida,Arthropoda,Crustacea,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1130,Decapoda,Order,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Decapoda,NA,NA,NA,NA,NA,NA,Eucarida,Arthropoda,Crustacea,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1131,Isopoda,Order,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Isopoda,NA,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1133,Tanaidacea,Order,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Tanaidacea,NA,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1135,Amphipoda,Order,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,NA,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1137,Cumacea,Order,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Cumacea,NA,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1268,Sipuncula,Order,Animalia,NA,NA,NA,NA,NA,Sipuncula,NA,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302,Pycnogonida,Class,Animalia,NA,NA,NA,Pycnogonida,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Chelicerata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1337,Hydrozoa,Class,Animalia,NA,NA,NA,Hydrozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cnidaria,Medusozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1341,Octocorallia,Class,Animalia,NA,NA,NA,Octocorallia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cnidaria,Anthozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1360,Actiniaria,Order,Animalia,NA,NA,NA,Hexacorallia,NA,Actiniaria,NA,NA,NA,NA,NA,NA,NA,Cnidaria,Anthozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1363,Scleractinia,Order,Animalia,NA,NA,NA,Hexacorallia,NA,Scleractinia,NA,NA,NA,NA,NA,NA,NA,Cnidaria,Anthozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1410,Foraminifera,Phylum,Chromista,Harosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rhizaria,NA,Foraminifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1484,Halacaridae,Family,Animalia,NA,NA,NA,Arachnida,Acari,Trombidiformes,Halacaridae,NA,NA,NA,NA,NA,Acariformes,Arthropoda,Chelicerata,NA,NA,Prostigmata,NA,Halacaroidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
1762,Nudibranchia,Order,Animalia,NA,NA,NA,Gastropoda,Heterobranchia,Nudibranchia,NA,NA,NA,NA,NA,NA,Nudipleura,Mollusca,NA,NA,Euthyneura,NA,NA,NA,NA,Ringipleura,NA,NA,NA,NA,NA,NA,NA
1821,Chordata,Phylum,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,Ascidiacea,Class,Animalia,NA,NA,NA,Ascidiacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Tunicata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2036,Oligochaeta,Subclass,Animalia,NA,NA,NA,Clitellata,Oligochaeta,NA,NA,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2041,Hirudinea,Subclass,Animalia,NA,NA,NA,Clitellata,Hirudinea,NA,NA,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11676,Pisces,Superclass,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,Vertebrata,Pisces,NA,NA,NA,NA,NA,NA,NA,NA,Gnathostomata,NA,NA,NA,NA
14629,Galeommatoidea,Superfamily,Animalia,NA,NA,NA,Bivalvia,Autobranchia,Galeommatida,NA,NA,NA,NA,NA,NA,Imparidentia,Mollusca,NA,NA,Heteroconchia,NA,NA,Galeommatoidea,NA,Euheterodonta,NA,NA,NA,NA,NA,NA,NA
14767,Rissooidea,Superfamily,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Littorinimorpha,NA,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Rissooidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
15308,Corallinales,Order,Plantae,Biliphyta,Rhodophyta,Eurhodophytina,Florideophyceae,Corallinophycidae,Corallinales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22496,Nereididae,Family,Animalia,NA,NA,NA,Polychaeta,Errantia,Phyllodocida,Nereididae,NA,NA,NA,NA,NA,NA,Annelida,NA,NA,NA,Nereidiformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22989,Architectonicidae,Family,Animalia,NA,NA,NA,Gastropoda,Heterobranchia,NA,Architectonicidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,"""Lower Heterobranchia""",NA,NA,Architectonicoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
23009,Columbellidae,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Neogastropoda,Columbellidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Buccinoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
23022,Cypraeidae,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Littorinimorpha,Cypraeidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Cypraeoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
23023,Cystiscidae,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Neogastropoda,Cystiscidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Volutoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
23075,Nacellidae,Family,Animalia,NA,NA,NA,Gastropoda,Patellogastropoda,NA,Nacellidae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Patelloidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
23082,Olividae,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Neogastropoda,Olividae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Olivoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
23100,Potamididae,Family,Animalia,NA,NA,NA,Gastropoda,Caenogastropoda,Caenogastropoda incertae sedis,Potamididae,NA,NA,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,NA,Cerithioidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
100701,Condylactis,Genus,Animalia,NA,NA,NA,Hexacorallia,NA,Actiniaria,Actiniidae,NA,NA,Condylactis,NA,NA,NA,Cnidaria,Anthozoa,NA,NA,Enthemonae,NA,Actinioidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
101361,Caprellidae,Family,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Caprellidae,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Caprelloidea,Caprellidira,NA,NA,NA,NA,NA,NA,NA,NA
101368,Aoridae,Family,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Aoridae,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Aoroidea,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA
101376,Corophiidae,Family,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Corophiidae,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Corophioidea,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA
101380,Eusiridae,Family,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Eusiridae,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Amphilochidea,Amphilochida,Eusiroidea,Eusiridira,NA,NA,NA,NA,NA,NA,NA,NA
101383,Gammaridae,Family,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Gammaridae,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Gammarida,Gammaroidea,Gammaridira,NA,NA,NA,NA,NA,NA,NA,NA
101388,Isaeidae,Family,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Isaeidae,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Isaeoidea,Caprellidira,NA,NA,NA,NA,NA,NA,NA,NA
101395,Lysianassidae,Family,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Lysianassidae,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Amphilochidea,Lysianassida,Lysianassoidea,Lysianassidira,NA,NA,NA,NA,NA,NA,NA,NA
101398,Melphidippidae,Family,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Melphidippidae,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Amphilochidea,Lysianassida,Dexaminoidea,Synopiidira,NA,NA,NA,NA,NA,NA,NA,NA
101403,Phoxocephalidae,Family,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Phoxocephalidae,NA,NA,NA,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Amphilochidea,Lysianassida,Haustorioidea,Haustoriidira,NA,NA,NA,NA,NA,NA,NA,NA
101430,Caprella,Genus,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Caprellidae,Caprellinae,NA,Caprella,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Caprelloidea,Caprellidira,NA,NA,NA,NA,NA,NA,NA,NA
101436,Phtisica,Genus,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Caprellidae,Phtisicinae,NA,Phtisica,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Caprelloidea,Caprellidira,NA,NA,NA,NA,NA,NA,NA,NA
101445,Ampelisca,Genus,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Ampeliscidae,NA,NA,Ampelisca,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Amphilochidea,Lysianassida,Synopioidea,Synopiidira,NA,NA,NA,NA,NA,NA,NA,NA
101459,Ampithoe,Genus,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Ampithoidae,NA,NA,Ampithoe,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Corophioidea,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA
101460,Cymadusa,Genus,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Ampithoidae,NA,NA,Cymadusa,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Corophioidea,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA
101467,Bemlos,Genus,Animalia,NA,NA,NA,Malacostraca,Eumalacostraca,Amphipoda,Aoridae,NA,NA,Bemlos,NA,NA,Peracarida,Arthropoda,Crustacea,Multicrustacea,NA,Senticaudata,Corophiida,Aoroidea,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA
